tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
343.00;839709054_0;336.41;15.35;217.00;0.08;4730616#1_0;0.59;0.00;tripinfo_286;126.00;286;0;1198.24;1.15;0.00;23.34;DEFAULT_VEHTYPE;;1;7.00
345.00;117055114_0;44.95;8.71;103.00;0.80;62020116#0_0;5.10;0.00;tripinfo_135;242.00;135;0;2737.86;1.12;0.00;46.26;DEFAULT_VEHTYPE;;3;15.00
349.00;939752205#4_0;41.32;7.00;80.00;0.12;14471542#1_0;0.97;0.00;tripinfo_104;269.00;104;0;2249.02;0.90;0.00;23.87;DEFAULT_VEHTYPE;;0;0.00
349.00;-8382368#2_0;151.97;7.80;98.00;0.04;8140188#0_0;5.10;0.00;tripinfo_118;251.00;118;0;1718.14;0.94;0.00;29.87;DEFAULT_VEHTYPE;;1;2.00
349.00;290174549#1_0;11.69;5.94;172.00;0.80;150275984#1_0;5.10;0.00;tripinfo_235;177.00;235;0;1300.81;1.00;0.00;20.54;DEFAULT_VEHTYPE;;0;0.00
349.00;-13853659#0_0;30.86;4.42;190.00;0.88;159636082_0;0.20;0.00;tripinfo_246;159.00;246;0;861.43;0.85;0.00;30.61;DEFAULT_VEHTYPE;;1;12.00
349.00;-654207127#3_0;12.67;2.95;259.00;0.92;-654207122_0;0.20;0.00;tripinfo_339;90.00;339;0;219.80;1.11;0.00;18.88;DEFAULT_VEHTYPE;;0;0.00
349.00;62020115#0_0;118.19;8.25;298.00;0.08;413722453#0_0;5.10;0.00;tripinfo_411;51.00;411;0;376.87;1.00;0.00;5.78;DEFAULT_VEHTYPE;;0;0.00
351.00;-150275986#3_0;11.62;7.77;76.00;0.44;29023870#0_0;5.10;0.00;tripinfo_98;275.00;98;0;2569.12;0.98;0.00;29.20;DEFAULT_VEHTYPE;;1;3.00
355.00;945224009_1;20.88;8.56;97.00;0.24;36801004#0_0;5.10;0.00;tripinfo_133;258.00;133;0;3223.53;1.10;0.00;37.21;DEFAULT_VEHTYPE;;0;0.00
355.00;8384914_0;76.32;8.51;167.00;0.48;-47999871_0;5.10;0.00;tripinfo_216;188.00;216;0;1438.67;1.08;0.00;25.41;DEFAULT_VEHTYPE;;0;0.00
